person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,probability_of_default,risk_segment
21,9600,Own,5.0,Education,B,1000,11.14,0,0.1,N,2,0.06,Low Risk
25,9600,Mortgage,1.0,Medical,C,5500,12.87,1,0.57,N,3,0.99,High Risk
23,65500,Rent,4.0,Medical,C,35000,15.23,1,0.53,N,2,0.99,High Risk
24,54400,Rent,8.0,Medical,C,35000,14.27,1,0.55,Y,4,0.99,High Risk
21,9900,Own,2.0,Venture,A,2500,7.14,1,0.25,N,2,0.89,High Risk
26,77100,Rent,8.0,Education,B,35000,12.42,1,0.45,N,3,0.97,High Risk
24,78956,Rent,5.0,Medical,B,35000,11.11,1,0.44,N,4,0.96,High Risk
24,83000,Rent,8.0,Personal,A,35000,8.9,1,0.42,N,2,1.0,High Risk
21,10000,Own,6.0,Venture,D,1600,14.74,1,0.16,N,3,0.74,High Risk
22,85000,Rent,6.0,Venture,B,35000,10.37,1,0.41,N,4,0.98,High Risk
21,10000,Own,2.0,Home Improvement,A,4500,8.63,1,0.45,N,2,0.96,High Risk
23,95000,Rent,2.0,Venture,A,35000,7.9,1,0.37,N,2,0.93,High Risk
26,108160,Rent,4.0,Education,E,35000,18.39,1,0.32,N,4,0.94,High Risk
23,115000,Rent,2.0,Education,A,35000,7.9,0,0.3,N,4,0.01,Low Risk
23,500000,Mortgage,7.0,Debt Consolidation,B,30000,10.65,0,0.06,N,3,0.0,Low Risk
23,120000,Rent,0.0,Education,A,35000,7.9,0,0.29,N,4,0.04,Low Risk
23,92111,Rent,7.0,Medical,F,35000,20.25,1,0.32,N,4,0.99,High Risk
23,113000,Rent,8.0,Debt Consolidation,D,35000,18.25,1,0.31,N,4,0.92,High Risk
24,10800,Mortgage,8.0,Education,B,1750,10.99,1,0.16,N,2,0.9,High Risk
25,162500,Rent,2.0,Venture,A,35000,7.49,0,0.22,N,4,0.01,Low Risk
25,137000,Rent,9.0,Personal,E,34800,16.77,0,0.25,Y,2,0.15,Low Risk
22,65000,Rent,4.0,Education,D,34000,17.58,1,0.52,N,4,0.97,High Risk
24,10980,Own,0.0,Personal,A,1500,7.29,0,0.14,N,3,0.05,Low Risk
22,80000,Rent,3.0,Personal,D,33950,14.54,1,0.42,Y,4,0.93,High Risk
24,67746,Rent,8.0,Home Improvement,C,33000,12.68,1,0.49,N,3,0.97,High Risk
21,11000,Mortgage,3.0,Venture,E,4575,17.74,1,0.42,Y,3,0.95,High Risk
23,11000,Own,0.0,Personal,A,1400,9.32,0,0.13,N,3,0.05,Low Risk
24,65000,Rent,6.0,Home Improvement,B,32500,9.99,1,0.5,N,3,0.97,High Risk
21,11389,Other,5.0,Education,C,4000,12.84,1,0.35,Y,2,0.94,High Risk
21,11520,Own,5.0,Medical,B,2000,11.12,1,0.17,N,3,0.89,High Risk
